,open,high,low,close,volume,value,macd,signal,result
2024-03-23 22:07:00,93877000.0,93878000.0,93862000.0,93876000.0,2.8196874,264701971.43516,-43615.27000965178,-22119.994775541112,Hold
2024-03-23 22:08:00,93877000.0,93877000.0,93862000.0,93876000.0,2.2253676,208896577.98492,-45808.25023007393,-26857.645866447674,Hold
2024-03-23 22:09:00,93876000.0,93877000.0,93862000.0,93877000.0,1.47300707,138278502.32448,-46924.59370498359,-30871.03543415486,Hold
2024-03-23 22:10:00,93877000.0,93877000.0,93862000.0,93871000.0,1.61422655,151531323.32308,-47743.10105763376,-34245.448558850636,Hold
2024-03-23 22:11:00,93871000.0,93968000.0,93870000.0,93965000.0,1.94819525,182918603.44055,-40341.725324735045,-35464.70391202752,Hold
2024-03-23 22:12:00,93965000.0,93965000.0,93910000.0,93915000.0,3.05236843,286673426.94186,-38071.795900672674,-35986.12230975655,Hold
2024-03-23 22:13:00,93915000.0,93917000.0,93910000.0,93917000.0,2.20805204,207365752.8906,-35699.950387224555,-35928.88792525016,Buy
2024-03-23 22:14:00,93915000.0,93916000.0,93775000.0,93778000.0,7.23130895,678592430.02466,-44523.14891216159,-37647.740122632444,Hold
2024-03-23 22:15:00,93779000.0,93782000.0,93703000.0,93703000.0,2.43168417,227984721.84425,-56911.43095976114,-41500.478290058185,Hold
2024-03-23 22:16:00,93703000.0,93704000.0,93700000.0,93701000.0,2.37388433,222436401.26096,-66128.33078669012,-46426.04878938458,Hold
2024-03-23 22:17:00,93701000.0,93704000.0,93680000.0,93685000.0,1.65878113,155426738.08421,-73872.30266490579,-51915.29956448882,Hold
2024-03-23 22:18:00,93685000.0,93782000.0,93677000.0,93781000.0,6.93111655,649486938.90865,-71439.54783828557,-55820.149219248175,Hold
2024-03-23 22:19:00,93758000.0,93820000.0,93758000.0,93798000.0,1.9107003,179215089.04926,-67363.2920870781,-58128.77779281416,Hold
2024-03-23 22:20:00,93798000.0,93801000.0,93758000.0,93797000.0,1.18056724,110717498.83633,-63481.743654221296,-59199.370965095586,Hold
2024-03-23 22:21:00,93777000.0,93798000.0,93758000.0,93760000.0,1.21473051,113919100.12037,-62668.77273212373,-59893.251318501214,Hold
2024-03-23 22:22:00,93760000.0,93777000.0,93750000.0,93758000.0,1.37358911,128783664.7511,-61477.19981330633,-60210.04101746224,Hold
2024-03-23 22:23:00,93758000.0,93758000.0,93719000.0,93726000.0,0.85528,80176257.98382,-62395.742970228195,-60647.181408015436,Hold
2024-03-23 22:24:00,93719000.0,93727000.0,93686000.0,93686000.0,1.48563323,139205454.59485,-65595.21988266706,-61636.78910294577,Hold
2024-03-23 22:25:00,93686000.0,93709000.0,93594000.0,93605000.0,4.62252399,432761207.95499,-73815.94715158641,-64072.620712673895,Hold
2024-03-23 22:26:00,93606000.0,93744000.0,93586000.0,93670000.0,1.9793918,185303963.52131,-74230.29532922804,-66104.15563598473,Hold
2024-03-23 22:27:00,93624000.0,93777000.0,93624000.0,93670000.0,1.79970811,168631569.73032,-73708.99780082703,-67625.1240689532,Hold
2024-03-23 22:28:00,93670000.0,93774000.0,93670000.0,93693000.0,1.16962035,109566368.08591,-70625.82739765942,-68225.26473469444,Hold
2024-03-23 22:29:00,93693000.0,93700000.0,93671000.0,93695000.0,0.99198283,92945304.15241,-67245.84115701914,-68029.38001915939,Buy
